AHRS;0.277;1696.342;30.9624;0.6650;-162.2492;-0.04671;0.26286;0.95192;3
MAGN;0.293;1696.365;-7.25000;-40.37500;-18.31250;3
ACCE;0.296;1696.363;0.38612;5.29098;8.41935;3
GYRO;0.296;1696.361;-0.10008;-0.08467;-0.03084;3
AHRS;0.298;1696.363;30.8216;0.5848;-162.2685;-0.04582;0.26180;0.95231;3
MAGN;0.312;1696.385;-7.25000;-40.31250;-18.25000;3
ACCE;0.315;1696.382;0.26621;5.15013;8.32164;3
GYRO;0.316;1696.381;-0.11245;-0.11858;-0.02550;3
AHRS;0.317;1696.382;30.7194;0.5162;-162.3038;-0.04503;0.26105;0.95261;3
MAGN;0.333;1696.405;-7.31250;-40.37500;-18.37500;3
ACCE;0.336;1696.403;0.18743;5.03870;8.28768;3
GYRO;0.337;1696.401;-0.12647;-0.13916;-0.02091;3
AHRS;0.338;1696.403;30.5786;0.3853;-162.3408;-0.04368;0.26007;0.95303;3
MAGN;0.355;1696.425;-7.50000;-40.31250;-18.12500;3
ACCE;0.356;1696.422;0.30682;4.99223;8.50723;3
GYRO;0.357;1696.421;-0.08180;-0.07418;-0.02519;3
AHRS;0.358;1696.422;30.4422;0.2470;-162.3671;-0.04230;0.25912;0.95343;3
MAGN;0.372;1696.445;-7.43750;-40.25000;-18.31250;3
ACCE;0.376;1696.443;0.32978;4.95608;8.20210;3
GYRO;0.377;1696.442;-0.05219;-0.04079;-0.04328;3
AHRS;0.385;1696.443;30.3450;0.1754;-162.4027;-0.04149;0.25842;0.95372;3
MAGN;0.392;1696.465;-7.56250;-40.12500;-18.37500;3
ACCE;0.395;1696.463;0.15693;5.07383;7.94328;3
GYRO;0.396;1696.461;-0.10095;-0.07995;-0.02904;3
AHRS;0.398;1696.463;30.2896;0.1585;-162.4579;-0.04116;0.25800;0.95392;3
MAGN;0.413;1696.485;-7.50000;-40.00000;-18.31250;3
ACCE;0.417;1696.483;0.22614;5.10134;7.98007;3
GYRO;0.418;1696.481;-0.17488;-0.12036;0.01030;3
AHRS;0.419;1696.483;30.1694;0.0826;-162.4990;-0.04028;0.25711;0.95427;3
PRES;0.421;1696.485;1006.3652;3
MAGN;0.432;1696.505;-7.50000;-39.93750;-18.06250;3
ACCE;0.435;1696.502;0.22275;4.89407;8.36744;3
GYRO;0.436;1696.501;-0.16355;-0.12294;-0.01414;3
AHRS;0.437;1696.502;29.9905;-0.0478;-162.4876;-0.03899;0.25578;0.95470;3
MAGN;0.452;1696.525;-7.62500;-39.75000;-18.12500;3
ACCE;0.456;1696.523;0.10530;4.98030;8.40213;3
